title,category,description,price,link
10 Inch Dark Brown Elmwood Chinese Square Stand,coffee-and-accent-tables,"Made of Elmwood this square stand compliments any art object that it is displayed. Hand rubbed dark brown finish. Fully assembled.This item will be shipped from Westmont IL 60559 U.S.AUse Display BaseMaterial WoodColor Dark Brown FinishMake Handcrafted HandcarvedOrigin ChinaDimensions W 10""/D 10""/H 3.5""Weight  4.5 lbAttributes Home Decor Square Statue Display Vase Display Pot Display",63,https://www.houzz.com/products/10-inch-dark-brown-elmwood-chinese-square-stand-prvw-vr~16399579
"12"" Crystal End Table Clear Mirror Finish",side-tables-and-accent-tables,The modern collection is all over the crystal diamond insidecrystal diamond and silver mirror reflect shine.It combine both the function and decoration to set your house.Available at AppliancesConnection Features Clear mirror finish sparkling clear crystals embedded into the frame clean lines contemporary design for entry way or living room use accent furniture,165,https://www.houzz.com/products/12-crystal-end-table-clear-mirror-finish-prvw-vr~108878425
"13""x22""x23"" White Wood Veneer Side Table",side-tables-and-accent-tables,The compact profile of this magnificent side table brands it as a sleek piece that can easily fit into any home setting. This transitional table features a portable drawer as well as an open shelf that is handy for storing few essentials. If you have a limited space in your living room area then this is the perfect piece for you. It is available in four unique colors including light green white gray and walnut.,153,https://www.houzz.com/products/13x22x23-white-wood-veneer-side-table-prvw-vr~159230895
149 RAF 2 Piece Sectional Set Ariel Slate,sofas-and-sectionals,Picket House Furnishings Maddox Right Arm Facing 2PC Sectional Set with Chaise is simple in structure and lofty in style. This sectional includes two pieces chaise and sofa. Constructed with solid and manufactured woods for years of usage with a boxy and legless look. Fully upholstered in soft polyester the seats are spacious and the cushions are immensely thick making this sectional best for the days when you want to just cozy up. Also features four feather filled pillows for decor. Requires light assembly and ships in two easy to handle boxes.,4158,https://www.houzz.com/products/149-raf-2-piece-sectional-set-ariel-slate-prvw-vr~170781319
"16"" Modern Geometric Square Side Table Dark Walnut",side-tables-and-accent-tables,Break the mold of boring decor with this geometric base accent table. It takes a simple mixed material box frame and elevates it by adding a diagonal bar on every side. The crosscutting bars add a rich visual element that create multiple shapes as you move around this square end table whether its in your living room or placed in your bedroom as a nightstand.,118,https://www.houzz.com/products/16-modern-geometric-square-side-table-dark-walnut-prvw-vr~149076667
18 Modern Slat Door Side Table  Dark Walnut,side-tables-and-accent-tables,All about closed storage this contemporary end table features a dropdown style door that opens to a wide space where you can store books electronics or other accessories. A unique powdercoated metal base complements the boxy silhouette of the top compartment. Round out this modern slat door collection by pairing this side table with its matching coffee table or TV stand.Drop down slatted doorClosed storage accent tableUse as a nightstand or end tableUnique metal frame legsModern mixed material side tableShips readytoassemble with stepbystep instructionsColor Dark WalnutMaterial MDF High quality laminate and powder coated metalProduct Weight 21Product Height 25Product Dimensions 25 H x 18 L x 15.75 W 21 lbsProduct Length (Side to Side) 18Product Width (Depth) (Front to Back) 15.75,161,https://www.houzz.com/products/18-modern-slat-door-side-table-dark-walnut-prvw-vr~157958125
"18"" x 12"" x 18"" x 3/4"" Clear Acrylic End Table or Shower Bench",coffee-and-accent-tables,"(1) clear acrylic end table or shower bench 18"" high x 18"" long x 12"" wide.It is made out of 3/4"" thick premium domestic (clear edge color and thicker) sheet by meNOT the 3/8"" or 1/4"" thick import you sometimes see.It is super thick and can be used as a bench.The material and edges are TOTALLY CLEAR and high polish.Sizes are approximate within 1/2"" but the picture is an actual table.It is NEW and made for this listing.These tables are sometimes refered to as ""waterfall"" or ""nest"".Other vendors usually make them smaller and with thinner material.17 pounds raw material from and fabricated in USAAllow 10 days maximum after payment for delivery.All items we have are in stock and ship UPS ground within one business day.",199,https://www.houzz.com/products/18-x-12-x-18-x-3-4-clear-acrylic-end-table-or-shower-bench-prvw-vr~119720877
"18""x18""x2021.5"" Black End Table",side-tables-and-accent-tables,This Crater End Table features a sturdy black matte black metal base a painted black MDF table top and a walnut oak wood veneer rim. This wooden rim is uneven in height around the table top offering a unique midcentury modern look while providing a secure environment for valuables.,138,https://www.houzz.com/products/18x18x20-215-black-end-table-prvw-vr~159652825
2Door Media Cabinet Cream/Gray,entertainment-centers-and-tv-stand,The two tone Winter Haven Gray finish emphasizes the raised circular motifs that cross the front and wrap around the sides creating a pleasing visual display on the two hinged doors. Open with the matching rounded hardware and find storage aplenty with six spacious shelves and two pull out drawers.Painted FinishBifold DoorsTwo Interior DrawersFour Adjustable ShelvesCord ManagementAdjustable LevelersDesign CredenzaFinish Winter Haven GrayFrame Color Cream/GrayMaterial MDF 95 Resin 5Number of Doors 2Number of Drawers 2Power NoShape RectangleSize MediumTop Thickness (in.) 1.875Product Weight (lbs.) 165Max TV Size (in.) 62Water Resistant NoInterior shelves YesTotal Weight Capacity 185 LbsAdjustable Levelers YesCord Mgmt / Drilled for Media YesNumber of Interior Shelves 4Bar/Wine Server NoCarb Ii Compliant YesDoor Hardware Antique Brass Circular HardwareDoors Included YesDrawer Glide Material MetalDrawer Hardware Cut OutDrawers Included YesExtended Drawer Glides YesExterior Shelves Included NoFixed Adjustable Remove able AdjustableFood Or Edible NoInterior Drawer Dimensions (in.) 23.75W x 11.75D x 5HInterior Shelf Dimensions (in.) 27.25W x 14D x 8H (Top) 27.25W x 14D x 8.75H (Middle)Live Plant Or Animal NoMax Depth (in.) 16.5Max Height (in.) 47Max Width (in.) 59Media Capability YesPerishable NoProduct Care Wipe clean with a dry/damp soft cloth. Do Not use strong liquid cleanersShelf Weight Capacity (per shelf) 60 LbsStain Resistant NoType Of Door Closures MagneticUpgraded European Hinges NoUsb Capability No,1669,https://www.houzz.com/products/2-door-media-cabinet-cream-gray-prvw-vr~106544337
2 Doors and 2 Tier Open Shelves TV Stand Rustic Oak and White,entertainment-centers-and-tv-stand,This TV stand has two doors and twotier open shelves so you can have plenty of storage space too. The table features rustic oak white and black which means it will work well with any style of furniture. If you happen to need a TV stand it will be a good choice for you.,943,https://www.houzz.com/products/2-doors-and-2-tier-open-shelves-tv-stand-rustic-oak-and-white-prvw-vr~185017110
